,Cities,Temp
88,Panama,26.811900200693255
89,Paraguay,23.351897463966473
90,Peru,18.765631271665683
91,Puerto Rico,26.1003489326765
92,Saint Barthelemy,26.216805783616348
93,Saint Kitts and Nevis,26.045935960591127
94,Saint Lucia,25.14234400656815
95,Saint Martin,26.269065863893434
96,Saint Pierre and Miquelon,6.259747308885212
97,Saint Vincent and the Grenadines,26.965706531655062
98,Sint Maarten,26.269065863893434
99,South Georgia and South Sandwich Islands,0.662830687830685
100,Suriname,26.013683634373205
101,Trinidad and Tobago,26.74747536945841
102,Turks and Caicos Islands,26.38617268746598
103,United States of America,14.636407589855933
104,Uruguay,16.868511676701424
105,Venezuela,21.896337347199616
106,Virgin Islands,26.326981846378434
107,Afghanistan,12.501318190111236
108,Armenia,11.76521392081737
109,Azerbaijan,16.357247765006573
110,Bahrain,26.813872924648997
111,Bangladesh,25.364465882138347
112,Bhutan,10.985046068235667
113,Brunei,26.82871510673256
114,Cambodia,27.711138478379862
115,China,12.922094508301354
116,Cyprus,20.660310618500286
117,East Timor,27.38080414158002
118,Georgia,13.496912059843138
119,Hong Kong,23.416785258164648
120,India,24.42251642036157
121,Indonesia,26.65363300492621
122,Iran,16.092234537493198
123,Iraq,25.985613939062315
124,Israel,18.162965243568667
125,Japan,15.734977650063689
126,Jordan,18.61431080094921
127,Kazakhstan,4.43381682174788
128,Kuwait,27.378263546798106
129,Kyrgyzstan,9.949007936507916
130,Laos,26.241431764276445
131,Lebanon,20.09211138478374
132,Macao,23.47305008210174
133,Malaysia,26.26641123882504
134,Maldives,27.46392765918621
135,Mongolia,1.0634168035029832
136,Myanmar,26.166422641853867
137,Nepal,17.142430669586002
138,North Korea,11.077378671775222
139,Oman,28.01715927750408
140,Pakistan,20.971008939974364
141,Palestine,17.534054004743748
142,Philippines,27.22601030833789
143,Qatar,27.924039864988146
144,Saudi Arabia,26.948494800219216
145,Singapore,26.582890895822278
146,South Korea,12.148636197774081
147,Sri Lanka,26.73568235723417
148,Syria,17.639568509396316
149,Taiwan,22.263437328954566
150,Tajikistan,13.790154625068457
151,Thailand,27.903562306148483
152,Turkey,13.036838624338587
153,Turkmenistan,17.297908684546574
154,United Arab Emirates,28.259865900383303
155,Uzbekistan,14.40241288086115
156,Vietnam,23.98521483305976
157,Yemen,18.773034117861673
158,Australia,12.750421912059906
159,Christmas Island,25.237246852764073
160,Cocos (Keeling) Islands,26.40763546798008
161,New Zealand,13.868951833606905
162,Norfolk Island,20.211672140120537
163,Algeria,19.084640120415877
164,Angola,25.949908775770677
165,Benin,26.7948960043787
166,Botswana,21.242854862251537
167,Burkina Faso,28.78644636015322
168,Burundi,24.056901112935606
169,Cameroon,23.805202061667547
170,Cape Verde,24.30622605363996
171,Central African Republic,27.562237730341103
172,Chad,28.905291005290824
173,Comoros,26.695678252143818
174,Democratic Republic of the Congo,25.80896049990846
175,Djibouti,29.102141488779196
176,Egypt,22.782040229885126
177,Equatorial Guinea,27.031958128078692
178,Eritrea,17.026443623426346
179,Eswatini,16.53640074803857
180,Ethiopia,16.057459861339197
181,Gabon,25.98183725597495
182,Gambia,26.320582466703296
183,Ghana,26.73171410326587
184,Guinea,26.655147327129967
185,Guinea-Bissau,27.363213829593132
186,Ivory Coast,26.595885787264937
187,Kenya,19.09453794927935
188,Lesotho,10.012331235176092
189,Liberia,26.062910509031248
190,Libya,20.983545429666083
191,Madagascar,18.56104041233346
192,Malawi,20.410374475460756
193,Mali,27.94139299397911
194,Mauritania,26.124516511585302
195,Mauritius,24.63159095055631
196,Mayotte,26.320826491516137
197,Morocco,18.708173690932362
198,Mozambique,22.926053639846753
199,Namibia,19.859913793103342
200,Niger,29.29636471446845
201,Nigeria,26.967672413793263
202,Republic of the Congo,25.608960499908818
203,Reunion,24.250374019339613
204,Rwanda,19.4529077723043
205,"Saint Helena, Ascension and Tristan da Cunha",19.00949644225483
206,Sao Tome and Principe,26.045701058200827
207,Senegal,24.73173006750577
208,Seychelles,26.57562032475826
209,Sierra Leone,26.337572979383104
210,Somalia,26.799769658821667
211,South Africa,18.624163017697395
212,South Sudan,28.239128352490248
213,Sudan,29.88937921912073
214,Tanzania,22.752166575442452
215,Togo,27.47374110563788
216,Tunisia,21.425524539317713
217,Uganda,21.25231709542063
218,Western Sahara,20.466235632183764
219,Zambia,20.64067916438618
220,Zimbabwe,18.881855500821093
221,American Samoa,26.848921273490138
222,Cook Islands,24.60783616128424
223,Fiji,24.553489326765447
224,French Polynesia,26.498864258347016
225,Guam,27.363435048348812
226,Kiribati,27.5005154168946
227,Marshall Islands,27.15216429483661
228,Nauru,27.31363118044167
229,New Caledonia,22.831365170589297
230,Niue,25.575579273855084
231,Northern Mariana Islands,25.163537675606488
232,Papua New Guinea,25.571487867177552
233,Pitcairn Islands,22.588029100528814
234,Samoa,26.690266374749108
235,Solomon Islands,26.78604725415038
236,Tonga,24.556143951833523
237,Tuvalu,27.461111111111126
238,Vanuatu,25.54254698047806
239,Wallis and Futuna,27.06025816456868
